mov_name,date,strain,num_spots,frac_cells
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,3,0.016666666666666666
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,1,0.8225806451612904
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,2,0.14516129032258066
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,3,0.03225806451612903
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_1_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,1,0.8651685393258427
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,2,0.11235955056179775
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,3,0.02247191011235955
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_20_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_21_w2GFPlow,3272019,TL47pQC116,1,0.8653846153846154
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_21_w2GFPlow,3272019,TL47pQC116,2,0.1346153846153846
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_21_w2GFPlow,3272019,TL47pQC116,3,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_21_w2GFPlow,3272019,TL47pQC116,4,0.0
